"Supply and disposition of milk products in Canada 1 2"
"Frequency: Monthly"
"Table: 32-10-0109-01 (formerly CANSIM 003-0007)"
"Release date: 2023-09-26"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,
"Years","Creamery butter",,"Other cheese (whole milk and cream)",,"Concentrated whole milk",,"Sweetened concentrated milk",
"June 1985","38,849","","22,765","","35,421","","3,202",""
"July 1985","39,073","","22,876","","39,015","","2,125",""
"August 1985","36,902","","22,876","","35,340","","2,256",""
"September 1985","36,100","","23,180","","34,606","","2,378",""
"October 1985","35,009","","23,647","","35,676","","2,155",""
"November 1985","31,589","","24,813","","22,860","","1,986",""
"December 1985","30,337","","24,280","","21,439","","1,508",""
"January 1986","27,614","","23,417","","22,303","","1,394",""
"February 1986","27,085","","22,864","","22,856","","1,218",""
"March 1986","26,968","","22,261","","25,545","","1,615",""
"April 1986","30,239","","24,308","","26,057","","1,615",""
"May 1986","29,181","","24,148","","24,506","","1,747",""
"June 1986","32,515","","23,806","","25,362","","2,072",""
"July 1986","30,335","","23,135","","31,745","","1,330",""
"August 1986","29,723","","22,371","","22,969","","1,385",""
"September 1986","29,835","","23,662","","16,938","","1,544",""
"October 1986","27,771","","23,345","","10,404","","1,381",""
"November 1986","25,267","","21,816","","11,165","","1,501",""
"December 1986","26,156","","22,243","","11,778","","1,338",""
"January 1987","26,444","","21,557","","15,745","","775",""
"February 1987","25,589","","19,880","","19,655","","1,147",""
"March 1987","26,624","","21,110","","18,009","","1,726",""
"April 1987","27,146","","23,438","","17,160","","1,718",""
"May 1987","27,456","","25,066","","15,997","","1,575",""
"June 1987","27,883","","25,948","","15,801","","1,721",""
"July 1987","26,509","","26,793","","14,230","","1,448",""
"August 1987","25,585","","26,021","","15,022","","1,323",""
"September 1987","24,585","","26,541","","15,733","","1,452",""
"October 1987","22,619","","26,318","","13,821","","1,360",""
"November 1987","21,276","","25,890","","8,430","","1,222",""
"December 1987","20,325","","27,149","","9,219","","1,212",""
"January 1988","17,288","","23,864","","10,850","","595",""
"February 1988","17,357","","23,403","","14,023","","934",""
"March 1988","18,627","","25,003","","17,642","","1,405",""
"April 1988","20,832","","22,298","","13,959","","1,641",""
"May 1988","23,726","","24,239","","17,015","","1,138",""
"June 1988","25,254","","24,281","","13,292","","1,025",""
"July 1988","25,725","","25,205","","13,279","","988",""
"August 1988","26,414","","24,684","","14,062","","860",""
"September 1988","26,151","","25,813","","14,540","","810",""
"October 1988","25,797","","28,006","","11,951","","1,137",""
"November 1988","24,460","","27,571","","7,058","","1,512",""
"December 1988","24,358","","27,845","","6,785","","1,285",""
"January 1989","23,017","","24,490","","9,333","","593",""
"February 1989","24,935","","22,157","","13,261","","884",""
"March 1989","27,926","","24,262","","14,511","","1,475",""
"April 1989","28,691","","22,217","","13,158","","1,232",""
"May 1989","30,040","","23,786","","8,488","","1,470",""
"June 1989","31,590","","24,513","","10,289","","1,740",""
"July 1989","30,663","","23,145","","11,906","","1,417",""
"August 1989","30,569","","23,770","","11,251","","1,364",""
"September 1989","26,607","","22,731","","15,319","","1,553",""
"October 1989","26,628","","23,399","","13,538","","1,212",""
"November 1989","25,285","","23,660","","14,086","","1,008",""
"December 1989","24,460","","22,016","","14,517","","750",""
"January 1990","22,819","","21,691","","7,270","","492",""
"February 1990","23,051","","23,654","","8,263","","734",""
"March 1990","26,821","","23,643","","8,643","","1,356",""
"April 1990","28,648","","23,551","","8,648","","1,052",""
"May 1990","31,014","","24,003","","8,953","","1,127",""
"June 1990","33,440","","24,677","","10,504","","1,125",""
"July 1990","34,696","","23,111","","8,873","","758",""
"August 1990","32,132","","24,653","","8,287","","819",""
"September 1990","32,127","","23,095","","8,115","","1,135",""
"October 1990","31,176","","26,898","","7,099","","980",""
"November 1990","29,698","","24,628","","7,606","","808",""
"December 1990","27,584","","23,790","","7,809","","644",""
"January 1991","28,159","","23,529","","7,674","","706",""
"February 1991","30,665","","21,530","","9,382","","879",""
"March 1991","30,301","","24,257","","11,958","","1,167",""
"April 1991","31,818","","24,946","","13,941","","1,255",""
"May 1991","31,792","","22,165","","10,355","","1,437",""
"June 1991","32,124","","23,637","","13,454","","1,303",""
"July 1991","29,866","","23,941","","13,847","","921",""
"August 1991","28,534","","25,523","","12,996","","1,371",""
"September 1991","27,969","","25,418","","13,541","","1,438",""
"October 1991","27,104","","24,392","","14,344","","1,353",""
"November 1991","24,586","","26,192","","5,222","","1,687",""
"December 1991","24,741","","24,413","","6,213","","1,855",""
"January 1992","25,855","","23,056","","7,181","","","x"
"February 1992","28,822","","25,032","","7,137","","","x"
"March 1992","28,887","","27,461","","8,834","","","x"
"April 1992","31,452","","26,908","","11,619","","","x"
"May 1992","31,687","","25,370","","9,807","","","x"
"June 1992","30,525","","27,397","","7,046","","","x"
"July 1992","29,544","","25,688","","6,859","","","x"
"August 1992","28,728","","26,650","","6,496","","","x"
"September 1992","25,373","","27,070","","6,992","","","x"
"October 1992","24,365","","27,063","","7,158","","","x"
"November 1992","23,477","","26,173","","7,286","","","x"
"December 1992","22,537","","25,637","","7,095","","","x"
"January 1993","18,910","","24,098","","6,977","","","x"
"February 1993","20,519","","22,861","","6,967","","","x"
"March 1993","23,354","","26,815","","7,265","","","x"
"April 1993","23,666","","24,834","","8,138","","","x"
"May 1993","23,144","","23,629","","11,757","","","x"
"June 1993","21,815","","26,819","","13,352","","","x"
"July 1993","20,096","","29,746","","13,394","","","x"
"August 1993","19,104","","27,023","","13,478","","","x"
"September 1993","17,125","","27,838","","14,737","","","x"
"October 1993","16,154","","26,524","","16,028","","","x"
"November 1993","15,784","","26,874","","9,622","","","x"
"December 1993","15,619","","27,726","","9,384","","","x"
"January 1994","13,548","","23,847","","6,211","","","x"
"February 1994","15,496","","24,524","","6,351","","","x"
"March 1994","19,337","","28,454","","7,531","","","x"
"April 1994","20,848","","26,369","","7,767","","","x"
"May 1994","23,154","","27,138","","8,279","","","x"
"June 1994","24,358","","28,492","","7,624","","","x"
"July 1994","22,719","","25,665","","7,908","","","x"
"August 1994","20,107","","26,275","","10,736","","","x"
"September 1994","19,678","","27,777","","12,777","","","x"
"October 1994","18,749","","27,988","","13,141","","","x"
"November 1994","18,344","","26,607","","4,406","","","x"
"December 1994","18,330","","26,731","","4,431","","","x"
"January 1995","17,916","","25,388","","4,962","","","x"
"February 1995","21,738","","25,994","","6,652","","","x"
"March 1995","25,850","","27,859","","9,901","","","x"
"April 1995","25,917","","25,693","","12,445","","","x"
"May 1995","26,833","","25,916","","12,660","","","x"
"June 1995","28,135","","27,007","","9,538","","","x"
"July 1995","25,942","","26,807","","9,797","","","x"
"August 1995","24,349","","26,940","","6,439","","","x"
"September 1995","23,929","","27,079","","9,366","","","x"
"October 1995","22,987","","28,089","","11,978","","","x"
"November 1995","23,707","","28,345","","7,583","","","x"
"December 1995","24,853","","29,029","","5,089","","","x"
"January 1996","24,950","","24,955","","8,972","","","x"
"February 1996","27,780","","25,898","","11,956","","","x"
"March 1996","32,812","","25,507","","7,270","","","x"
"April 1996","34,384","","26,632","","7,778","","","x"
"May 1996","32,900","","26,863","","12,261","","","x"
"June 1996","31,991","","28,410","","19,103","","","x"
"July 1996","32,658","","27,197","","17,062","","","x"
"August 1996","26,284","","27,400","","8,940","","","x"
"September 1996","24,053","","27,431","","10,236","","","x"
"October 1996","23,814","","27,983","","8,842","","","x"
"November 1996","22,586","","27,033","","6,829","","","x"
"December 1996","22,171","","29,876","","9,723","","","x"
"January 1997","21,741","","28,872","","14,412","","","x"
"February 1997","24,078","","29,052","","11,955","","","x"
"March 1997","25,091","","31,896","","19,593","","","x"
"April 1997","28,261","","33,112","","17,009","","","x"
"May 1997","29,293","","30,823","","18,206","","","x"
"June 1997","30,294","","32,917","","27,020","","","x"
"July 1997","32,497","","31,962","","13,283","","","x"
"August 1997","30,533","","30,326","","15,829","","","x"
"September 1997","29,195","","31,310","","9,848","","","x"
"October 1997","28,165","","32,432","","9,331","","","x"
"November 1997","23,765","","32,207","","10,717","","","x"
"December 1997","22,803","","33,861","","5,784","","","x"
"January 1998","25,146","","29,976","","13,647","","","x"
"February 1998","25,987","","30,322","","13,988","","","x"
"March 1998","28,940","","30,614","","15,170","","","x"
"April 1998","29,462","","33,851","","20,478","","","x"
"May 1998","31,755","","31,877","","17,423","","","x"
"June 1998","30,591","","34,957","","19,153","","","x"
"July 1998","29,143","","31,509","","15,508","","","x"
"August 1998","22,488","","30,918","","13,576","","","x"
"September 1998","22,147","","31,264","","13,294","","","x"
"October 1998","19,695","","32,658","","11,768","","","x"
"November 1998","17,650","","31,261","","5,949","","","x"
"December 1998","17,544","","30,980","","5,964","","","x"
"January 1999","18,579","","29,797","","7,203","","","x"
"February 1999","22,173","","28,671","","6,558","","","x"
"March 1999","27,245","","31,845","","8,401","","","x"
"April 1999","31,977","","32,088","","8,016","","","x"
"May 1999","33,888","","30,450","","7,274","","","x"
"June 1999","35,654","","32,359","","8,272","","","x"
"July 1999","34,105","","32,142","","9,036","","","x"
"August 1999","32,110","","30,898","","8,534","","","x"
"September 1999","30,388","","31,686","","8,394","","","x"
"October 1999","28,463","","31,977","","8,165","","","x"
"November 1999","24,965","","33,523","","7,679","","","x"
"December 1999","23,252","","33,187","","7,054","","","x"
"January 2000","21,823","","32,080","","6,816","","","x"
"February 2000","23,188","","30,485","","6,516","","","x"
"March 2000","26,836","","30,951","","8,275","","","x"
"April 2000","30,598","","30,020","","7,582","","","x"
"May 2000","31,464","","30,192","","8,079","","","x"
"June 2000","32,434","","30,779","","9,788","","","x"
"July 2000","31,680","","29,605","","8,311","","","x"
"August 2000","29,350","","30,345","","8,771","","","x"
"September 2000","26,300","","31,990","","7,485","","","x"
"October 2000","26,335","","32,236","","6,241","","","x"
"November 2000","24,710","","32,342","","5,978","","","x"
"December 2000","23,504","","32,164","","6,689","","","x"
"January 2001","23,668","","30,119","","6,810","","","x"
"February 2001","26,687","","29,546","","5,942","","","x"
"March 2001","29,794","","29,982","","7,607","","","x"
"April 2001","33,941","","30,805","","6,994","","","x"
"May 2001","35,584","","33,241","","7,559","","","x"
"June 2001","36,798","","33,154","","9,186","","","x"
"July 2001","36,829","","32,529","","8,128","","","x"
"August 2001","33,332","","30,847","","8,513","","","x"
"September 2001","31,138","","30,673","","6,350","","","x"
"October 2001","32,114","","31,535","","5,135","","","x"
"November 2001","34,103","","34,503","","4,695","","","x"
"December 2001","31,068","","33,993","","6,091","","","x"
"January 2002","28,845","","31,030","","6,204","","","x"
"February 2002","31,694","","30,936","","6,167","","","x"
"March 2002","35,567","","31,306","","8,706","","","x"
"April 2002","42,707","","33,167","","7,825","","","x"
"May 2002","43,421","","31,294","","8,122","","","x"
"June 2002","42,264","","32,259","","10,309","","","x"
"July 2002","39,260","","32,235","","8,385","","","x"
"August 2002","26,812","","34,000","","9,551","","","x"
"September 2002","24,003","","35,367","","7,118","","","x"
"October 2002","22,532","","38,069","","5,951","","","x"
"November 2002","20,023","","36,270","","3,484","","","x"
"December 2002","19,088","","36,240","","7,669","","","x"
"January 2003","18,262","","33,882","","7,783","","","x"
"February 2003","16,704","","31,493","","6,456","","","x"
"March 2003","19,663","","32,981","","7,146","","","x"
"April 2003","23,734","","32,468","","7,375","","","x"
"May 2003","24,633","","32,953","","5,776","","","x"
"June 2003","25,922","","34,011","","7,691","","","x"
"July 2003","25,437","","35,641","","5,587","","","x"
"August 2003","23,344","","31,707","","5,629","","","x"
"September 2003","21,528","","35,438","","4,619","","","x"
"October 2003","22,419","","37,086","","3,995","","","x"
"November 2003","22,079","","35,332","","5,049","","","x"
"December 2003","22,255","","35,567","","4,974","","","x"
"January 2004","21,278","","34,728","","5,774","","","x"
"February 2004","20,518","","32,891","","5,267","","","x"
"March 2004","23,411","","34,319","","6,709","","","x"
"April 2004","26,362","","35,281","","6,939","","","x"
"May 2004","28,320","","34,773","","6,878","","","x"
"June 2004","28,063","","37,080","","5,569","","","x"
"July 2004","26,922","","36,199","","4,790","","","x"
"August 2004","25,544","","33,917","","4,564","","","x"
"September 2004","25,583","","36,976","","3,471","","","x"
"October 2004","25,655","","36,453","","3,474","","","x"
"November 2004","24,859","","37,514","","2,706","","","x"
"December 2004","22,608","","36,866","","4,203","","","x"
"January 2005","22,945","","34,839","","5,113","","","x"
"February 2005","19,345","","33,938","","4,427","","","x"
"March 2005","23,550","","36,036","","4,505","","","x"
"April 2005","29,023","","35,770","","3,710","","","x"
"May 2005","30,833","","36,158","","3,603","","","x"
"June 2005","31,996","","36,353","","3,635","","","x"
"July 2005","31,889","","36,497","","3,430","","","x"
"August 2005","28,628","","35,662","","3,629","","","x"
"September 2005","28,704","","34,751","","2,887","","","x"
"October 2005","27,455","","35,514","","2,982","","","x"
"November 2005","26,874","","35,875","","2,912","","","x"
"December 2005","26,929","","37,983","","3,022","","","x"
"January 2006","27,084","","36,694","","2,012","","","x"
"February 2006","28,741","","34,392","","3,618","","","x"
"March 2006","31,710","","35,694","","3,701","","","x"
"April 2006","34,128","","34,519","","3,847","","","x"
"May 2006","34,822","","35,241","","3,743","","","x"
"June 2006","34,214","","35,072","","3,555","","","x"
"July 2006","32,161","","35,913","","3,844","","","x"
"August 2006","28,438","","36,247","","3,837","","","x"
"September 2006","25,657","","39,462","","3,092","","","x"
"October 2006","24,761","","39,391","","3,163","","","x"
"November 2006","21,438","","39,504","","2,961","","","x"
"December 2006","19,132","","35,994","","2,819","","","x"
"January 2007","18,770","","37,852","","4,029","","","x"
"February 2007","18,760","","39,277","","3,268","","","x"
"March 2007","20,732","","36,878","","3,970","","","x"
"April 2007","21,148","","35,855","","4,381","","","x"
"May 2007","21,852","","36,838","","3,992","","","x"
"June 2007","23,093","","37,395","","4,013","","","x"
"July 2007","22,803","","37,596","","3,670","","","x"
"August 2007","21,249","","38,421","","2,799","","","x"
"September 2007","21,319","","40,655","","2,840","","","x"
"October 2007","20,885","","43,527","","3,267","","","x"
"November 2007","20,063","","41,023","","2,943","","","x"
"December 2007","19,119","","39,864","","2,853","","","x"
"January 2008","20,709","","41,281","","3,623","","","x"
"February 2008","23,086","","39,764","","4,069","","","x"
"March 2008","24,789","","39,790","","4,183","","","x"
"April 2008","28,570","","40,200","","4,439","","","x"
"May 2008","28,076","","40,753","","3,553","","","x"
"June 2008","27,657","","39,312","","3,703","","","x"
"July 2008","26,670","","41,315","","4,209","","","x"
"August 2008","25,268","","40,616","","2,776","","","x"
"September 2008","23,300","","42,729","","2,770","","","x"
"October 2008","23,228","","44,326","","2,546","","","x"
"November 2008","22,814","","42,120","","2,353","","","x"
"December 2008","22,669","","40,187","","2,702","","","x"
"January 2009","23,079","","40,217","","3,270","","","x"
"February 2009","25,087","","38,544","","3,516","","","x"
"March 2009","27,135","","39,351","","3,867","","","x"
"April 2009","27,987","","39,091","","4,083","","","x"
"May 2009","27,637","","36,687","","4,427","","","x"
"June 2009","25,770","","39,457","","5,173","","","x"
"July 2009","27,094","","39,857","","5,298","","","x"
"August 2009","26,352","","38,829","","4,810","","","x"
"September 2009","24,690","","42,640","","4,586","","","x"
"October 2009","25,389","","43,601","","4,571","","","x"
"November 2009","24,641","","42,271","","4,047","","","x"
"December 2009","24,570","","40,989","","4,433","","","x"
"January 2010","24,653","","38,812","","4,576","","","x"
"February 2010","24,574","","37,295","","3,583","","","x"
"March 2010","27,519","","40,750","","3,471","","","x"
"April 2010","28,853","","39,542","","2,922","","","x"
"May 2010","29,119","","38,210","","2,815","","","x"
"June 2010","28,782","","39,397","","3,007","","","x"
"July 2010","27,450","","39,533","","2,927","","","x"
"August 2010","25,820","","39,597","","3,065","","","x"
"September 2010","24,211","","42,149","","2,858","","","x"
"October 2010","22,759","","41,610","","3,056","","","x"
"November 2010","21,913","","42,981","","3,181","","","x"
"December 2010","19,292","","41,083","","2,500","","","x"
"January 2011","18,791","","42,112","","3,710","","","x"
"February 2011","19,532","","44,450","","3,449","","","x"
"March 2011","21,185","","48,479","","3,610","","","x"
"April 2011","23,442","","48,461","","3,222","","","x"
