"Supply and disposition of milk products in Canada 1 2"
"Frequency: Monthly"
"Table: 32-10-0109-01 (formerly CANSIM 003-0007)"
"Release date: 2023-09-26"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,
"Years","Creamery butter",,"Other cheese (whole milk and cream)",,"Concentrated whole milk",,"Sweetened concentrated milk",
"November 2019","41,263","","72,480","","","x","","x"
"December 2019","39,507","","72,635","","","x","","x"
"January 2020","40,490","","71,749","","","x","","x"
"February 2020","39,599","","67,583","","","x","","x"
"March 2020","41,768","","69,001","","","x","","x"
"April 2020","42,598","","68,552","","","x","","x"
"May 2020","39,793","","67,865","","","x","","x"
"June 2020","40,849","","66,464","","","x","","x"
"July 2020","39,260","","66,855","","","x","","x"
"August 2020","37,830","","69,159","","","x","","x"
"September 2020","39,842","","71,803","","","x","","x"
"October 2020","38,021","","74,311","","","x","","x"
"November 2020","36,472","","72,076","","","x","","x"
"December 2020","36,010","","70,185","","","x","","x"
"January 2021","37,041","","69,034","","","x","","x"
"February 2021","36,182","","66,800","","","x","","x"
"March 2021","35,119","","67,969","","","x","","x"
"April 2021","36,322","","69,616","","","x","","x"
"May 2021","35,648","","67,448","","","x","","x"
"June 2021","35,486","","66,138","","","x","","x"
"July 2021","36,133","","66,298","","","x","","x"
"August 2021","36,264","","67,675","","","x","","x"
"September 2021","39,481","","68,265","","","x","","x"
"October 2021","36,272","","70,057","","","x","","x"
"November 2021","36,365","","69,683","","","x","","x"
"December 2021","35,728","","69,522","","","x","","x"
"January 2022","34,511","","68,470","","","x","","x"
"February 2022","32,349","","64,292","","","x","","x"
"March 2022","34,992","","66,458","","","x","","x"
"April 2022","34,029","","69,252","","","x","","x"
"May 2022","33,631","","66,854","","","x","","x"
"June 2022","34,314","","66,638","","","x","","x"
"July 2022","34,444","","67,149","","","x","","x"
"August 2022","33,768","","67,310","","","x","","x"
"September 2022","29,980","","68,703","","","x","","x"
"October 2022","31,378","","71,194","","","x","","x"
"November 2022","31,709","","70,109","","","x","","x"
"December 2022","31,977","","69,789","","","x","","x"
"January 2023","36,473","","69,642","","","x","","x"
"February 2023","32,298","","66,109","","","x","","x"
"March 2023","33,795","","67,177","","","x","","x"
"April 2023","36,108","","67,355","","","x","","x"
"May 2023","37,058","","65,027","","","x","","x"
"June 2023","37,369","","65,198","","","x","","x"
"July 2023","38,952","","65,347","","","x","","x"
