Milk production and utilization c 1,,,
Frequency: Monthly,,,
Table: 32-10-0113-01 (formerly CANSIM 003-0011),,,
Release date: 2023-09-26,,,
"Geography: Canada, Province or territory",,,
,,,
,,,
,,,
Geography,Canada,,
,,,
,,,
Reference period,Total milk sold,Fluid purposes,Industrial purposes
Oct-88,"602,706","237,332","352,370"
Nov-88,"572,231","230,073","330,455"
Dec-88,"607,941","235,104","361,938"
Jan-89,"615,969","232,062","372,555"
Feb-89,"563,585","213,643","339,284"
Mar-89,"641,831","242,451","386,367"
Apr-89,"644,553","220,203","411,424"
May-89,"681,440","231,833","433,287"
Jun-89,"655,779","222,004","416,771"
Jul-89,"637,173","209,775","413,030"
Aug-89,"625,599","226,671","384,137"
Sep-89,"587,622","232,432","342,902"
Oct-89,"579,238","237,189","330,661"
Nov-89,"551,577","230,271","311,621"
Dec-89,"582,554","226,818","347,036"
Jan-90,"600,012","235,884","354,317"
Feb-90,"553,549","212,059","332,707"
Mar-90,"631,051","241,611","378,990"
Apr-90,"636,176","223,539","400,980"
May-90,"675,359","232,211","429,256"
Jun-90,"666,856","219,535","432,732"
Jul-90,"648,866","216,582","418,047"
Aug-90,"632,869","229,171","390,885"
Sep-90,"590,780","223,905","356,138"
Oct-90,"578,429","239,304","328,422"
Nov-90,"551,006","235,251","306,842"
Dec-90,"580,590","230,434","341,708"
Jan-91,"592,652","241,268","342,646"
Feb-91,"544,397","211,921","324,287"
Mar-91,"615,361","235,093","371,094"
Apr-91,"622,731","231,245","379,602"
May-91,"657,558","231,731","412,667"
Jun-91,"640,686","213,318","414,482"
Jul-91,"630,845","219,984","397,091"
Aug-91,"624,321","231,167","381,203"
Sep-91,"592,585","226,910","354,823"
Oct-91,"586,390","240,843","334,987"
Nov-91,"564,101","232,959","322,601"
Dec-91,"597,115","228,207","359,781"
Jan-92,"606,748","240,940","356,725"
Feb-92,"565,806","223,644","333,648"
Mar-92,"605,643","235,499","359,885"
Apr-92,"594,943","229,657","354,654"
May-92,"608,694","226,352","371,227"
Jun-92,"590,155","227,232","349,915"
Jul-92,"569,165","222,493","335,337"
Aug-92,"578,862","220,103","346,958"
Sep-92,"548,760","224,324","314,129"
Oct-92,"549,947","243,637","297,280"
Nov-92,"524,721","225,554","291,808"
Dec-92,"559,971","238,837","313,593"
Jan-93,"563,098","232,124","324,463"
Feb-93,"514,963","214,505","293,878"
Mar-93,"577,938","237,127","332,830"
Apr-93,"578,290","227,913","341,953"
May-93,"609,181","221,455","378,590"
Jun-93,"595,662","216,271","369,176"
Jul-93,"583,815","219,794","354,740"
Aug-93,"575,211","214,934","354,587"
Sep-93,"548,761","227,831","316,147"
Oct-93,"543,281","232,394","307,251"
Nov-93,"530,148","234,270","292,765"
Dec-93,"568,689","231,616","334,393"
Jan-94,"578,009","234,232","341,400"
Feb-94,"529,989","214,238","313,580"
Mar-94,"601,233","245,053","353,539"
Apr-94,"601,055","222,653","375,870"
May-94,"631,217","228,330","399,973"
Jun-94,"616,348","223,445","389,667"
Jul-94,"602,676","216,588","383,353"
Aug-94,"594,459","224,201","367,561"
Sep-94,"566,500","235,696","328,406"
Oct-94,"573,691","238,777","332,968"
Nov-94,"552,096","229,987","320,399"
Dec-94,"589,040","238,399","349,203"
Jan-95,"602,711","230,585","370,679"
Feb-95,"549,547","212,823","335,202"
Mar-95,"614,437","237,628","375,276"
Apr-95,"601,763","217,336","382,907"
May-95,"632,163","230,540","399,640"
Jun-95,"616,598","219,863","394,467"
Jul-95,"610,083","207,902","400,166"
Aug-95,"610,905","227,088","381,896"
Sep-95,"587,327","229,817","355,842"
Oct-95,"589,875","236,320","351,994"
Nov-95,"572,565","230,363","340,999"
Dec-95,"609,115","233,540","374,529"
Jan-96,"616,564","234,518","380,885"
Feb-96,"580,948","223,195","356,784"
Mar-96,"629,265","234,458","393,748"
Apr-96,"616,199","228,177","386,733"
May-96,"633,432","229,933","402,169"
Jun-96,"612,844","211,599","399,787"
Jul-96,"597,435","216,922","378,831"
Aug-96,"589,315","227,387","360,559"
Sep-96,"567,137","221,977","343,873"
Oct-96,"572,225","240,834","330,200"
Nov-96,"557,837","236,149","320,806"
Dec-96,"599,002","234,919","363,221"
Jan-97,"615,241","240,967","373,535"
Feb-97,"565,141","214,594","349,897"
Mar-97,"634,179","234,168","399,265"
Apr-97,"627,491","225,779","400,803"
May-97,"657,065","234,283","421,823"
Jun-97,"644,642","213,537","429,810"
Jul-97,"639,848","218,220","420,276"
Aug-97,"627,418","224,311","402,080"
Sep-97,"597,861","228,811","367,949"
Oct-97,"606,438","239,385","365,781"
Nov-97,"584,391","222,626","361,050"
Dec-97,"621,661","238,596","382,303"
Jan-98,"633,854","239,498","393,716"
Feb-98,"580,551","211,862","368,089"
Mar-98,"645,414","232,535","412,206"
Apr-98,"632,743","223,014","408,986"
May-98,"666,189","223,919","441,443"
Jun-98,"641,799","224,351","416,441"
Jul-98,"642,014","223,713","417,424"
Aug-98,"629,785","222,318","406,644"
Sep-98,"605,194","231,964","372,417"
Oct-98,"614,927","242,776","371,414"
Nov-98,"595,300","230,998","363,689"
Dec-98,"633,279","250,927","381,714"
Jan-99,"642,467","234,551","407,400"
Feb-99,"589,669","215,044","374,145"
Mar-99,"660,129","240,205","419,341"
Apr-99,"648,312","230,805","416,910"
May-99,"676,006","225,448","449,891"
Jun-99,"643,658","223,116","419,751"
Jul-99,"640,703","228,391","411,602"
Aug-99,"633,856","231,018","402,119"
Sep-99,"604,090","236,461","366,972"
Oct-99,"614,615","239,912","374,082"
Nov-99,"599,691","242,716","356,415"
Dec-99,"636,305","250,409","385,386"
Jan-00,"645,517","233,201","411,861"
Feb-00,"607,427","230,613","376,344"
Mar-00,"654,776","245,699","408,558"
Apr-00,"634,304","227,295","406,508"
May-00,"655,108","239,814","414,653"
Jun-00,"628,098","233,511","393,938"
Jul-00,"624,835","219,540","404,736"
Aug-00,"619,370","236,186","382,536"
Sep-00,"599,226","235,268","363,311"
Oct-00,"614,492","244,078","369,776"
Nov-00,"592,401","239,304","352,660"
Dec-00,"623,059","244,697","377,984"
Jan-01,"639,603","240,787","398,416"
Feb-01,"584,385","221,051","363,021"
Mar-01,"652,556","246,450","405,723"
Apr-01,"639,621","228,506","410,715"
May-01,"670,631","239,978","430,135"
Jun-01,"631,033","224,458","406,016"
Jul-01,"635,280","224,237","410,485"
Aug-01,"629,684","240,041","389,161"
Sep-01,"608,464","226,501","381,519"
Oct-01,"622,854","247,653","374,710"
Nov-01,"607,744","240,545","366,812"
Dec-01,"634,543","242,591","391,560"
Jan-02,"653,393","236,343","416,708"
Feb-02,"591,857","218,527","373,025"
Mar-02,"653,353","240,719","412,299"
Apr-02,"633,641","231,863","401,409"
May-02,"637,730","239,232","398,078"
Jun-02,"609,016","217,630","390,937"
Jul-02,"605,734","223,972","381,301"
Aug-02,"597,771","234,561","362,793"
Sep-02,"576,692","229,444","346,880"
Oct-02,"598,193","246,210","351,579"
Nov-02,"589,200","239,777","349,114"
Dec-02,"629,169","241,365","387,465"
Jan-03,"642,069","239,471","402,303"
Feb-03,"577,959","219,898","357,789"
Mar-03,"640,124","237,959","401,888"
Apr-03,"623,175","233,957","388,878"
May-03,"651,433","237,014","414,042"
Jun-03,"631,602","221,555","409,607"
Jul-03,"640,220","224,951","414,812"
Aug-03,"627,412","229,758","397,243"
Sep-03,"610,139","235,616","374,110"
Oct-03,"625,060","248,079","376,593"
Nov-03,"609,843","230,110","379,435"
Dec-03,"643,640","249,912","393,574"
Jan-04,"652,657","241,307","411,297"
Feb-04,"614,986","223,036","391,893"
Mar-04,"663,216","244,474","418,671"
Apr-04,"645,780","235,039","410,679"
May-04,"668,403","232,561","435,759"
Jun-04,"642,103","227,571","414,451"
Jul-04,"647,341","229,003","418,248"
Aug-04,"640,425","228,765","411,562"
Sep-04,"615,030","235,394","379,565"
Oct-04,"630,577","240,802","389,710"
Nov-04,"612,387","243,696","368,625"
Dec-04,"641,808","250,563","391,197"
Jan-05,"650,630","239,785","410,784"
Feb-05,"591,871","220,768","371,056"
Mar-05,"656,254","243,433","412,774"
Apr-05,"639,020","232,411","406,559"
May-05,"660,203","238,460","421,683"
Jun-05,"631,997","229,704","402,230"
Jul-05,"635,309","225,338","409,921"
Aug-05,"636,459","247,130","389,265"
Sep-05,"608,725","251,611","357,071"
Oct-05,"623,734","250,798","372,886"
Nov-05,"606,366","248,234","358,101"
Dec-05,"638,560","259,037","379,499"
Jan-06,"652,032","249,346","402,666"
Feb-06,"589,938","229,778","360,158"
Mar-06,"648,832","257,328","391,500"
Apr-06,"623,768","237,338","386,427"
May-06,"639,954","252,511","387,440"
Jun-06,"610,668","242,141","368,523"
Jul-06,"615,138","231,811","383,326"
Aug-06,"618,529","251,067","367,460"
Sep-06,"598,000","245,766","352,234"
